"","Team","teamScore","elo","index"
"284","Tennessee",63,1218.42314383251,96
"102","Georgia St",62,1210.36533188054,126
"96","G Washington",61,1208.77176181532,185
"169","Minnesota",64,1207.85167077201,37
"287","Texas",63,1206.89181919039,97
"336","WI Green Bay",61,1206.10820149155,228
"164","Miami FL",63,1204.29456249628,78
"279","Stony Brook",62,1204.26985232015,161
"14","Arkansas",63,1203.99309539773,55
"317","UTEP",63,1201.75551079529,103
"119","Illinois",64,1200.6775575061,30
"65","Davidson",61,1197.43952387591,183
"345","Xavier",63,1196.57388876215,109
"123","Iona",62,1194.76021011501,132
"26","Boston Univ",63,1193.77162650619,58
"334","Weber St",57,1192.75921354622,330
"261","SMU",62,1192.58271071212,154
"170","Mississippi",64,1189.55639873528,38
"37","California",62,1187.81569708896,116
"155","Marquette",62,1187.14890253845,136
"122","Indiana St",62,1186.57636984349,131
"124","Iowa",63,1186.20407895533,72
"272","St John's",62,1180.54230992236,158
"31","Bucknell",61,1178.41455338952,177
"296","Tulsa",62,1177.88895957809,164
"321","Vermont",61,1174.35723000053,226
"24","Boise St",63,1173.18767216248,56
"239","Robert Morris",67,1171.84812997981,1
"153","Manhattan",61,1168.12497066744,200
"230","Princeton",54,1164.28993751889,343
"92","Florida St",63,1164.00323129685,67
"88","FL Gulf Coast",64,1162.85650375205,27
"293","Towson",63,1162.52643672915,99
"315","Utah St",61,1160.62351618835,224
"242","S Dakota St",59,1160.31285235772,279
"151","LSU",61,1158.43442063397,199
"192","Nebraska",62,1156.56436897551,139
"182","Murray St",56,1149.72437864041,337
"157","Maryland",63,1148.58771177318,76
"301","UC Irvine",64,1137.71505154856,48
"319","Valparaiso",64,1133.72682172619,50
"39","Canisius",63,1132.82333326534,60
"211","Notre Dame",63,1129.61692323671,85
"249","San Francisco",59,1127.71093760687,280
"237","Richmond",64,1127.11112144325,45
"43","Charlotte",61,1126.1039601516,179
"54","Colorado St",61,1126.01188856592,182
"48","Clemson",62,1123.19956101147,117
"101","Georgia",63,1122.86330830889,68
"176","Montana",57,1122.27555901545,322
"330","Wagner",62,1115.48883463191,168
"137","La Salle",60,1111.89966506435,247
"343","Wright St",63,1110.37071898873,108
"33","Butler",61,1105.92697452785,178
"69","Denver",60,1105.67010902609,235
"314","Utah",60,1105.18541890625,263
"344","Wyoming",60,1103.03258715371,265
"126","IPFW",63,1102.12274720266,73
"109","Hawaii",60,1100.9408464717,246
"49","Cleveland St",61,1095.29963307656,181
"332","Washington",63,1094.88763907755,106
"267","Southern Univ",59,1093.97257426609,281
"233","Quinnipiac",62,1093.76118992763,148
"6","Albany NY",65,1091.77227273847,3
"113","Houston",61,1088.85097135435,188
"328","W Kentucky",62,1085.08538818587,167
"15","Arkansas St",60,1080.40930271855,229
"210","Northwestern LA",56,1079.31106090344,339
"245","Sam Houston St",61,1076.94332164392,210
"288","Texas A&M",63,1076.18576860991,98
"30","Bryant",62,1075.50394799537,115
"82","Elon",60,1073.1768487115,240
"208","Northern Iowa",61,1071.64069802207,207
"305","ULL",63,1069.88893064667,101
"251","Santa Barbara",58,1065.77023915054,304
"339","William & Mary",60,1062.26329095329,264
"335","West Virginia",63,1057.87246816168,107
"50","Coastal Car",59,1055.77376853894,270
"201","Norfolk St",64,1055.23386947108,41
"269","St Bonaventure",62,1050.79157569292,156
"220","Oregon St",62,1050.20031652146,145
"112","Holy Cross",62,1049.79989626095,128
"78","E Michigan",63,1046.44083002902,63
"258","Seton Hall",65,1045.28345626965,13
"103","Georgia Tech",63,1043.87117500173,69
"295","Tulane",63,1041.73305054536,100
"32","Buffalo",59,1041.03713139715,268
"221","Pacific",59,1040.74563808685,277
"120","Illinois St",62,1040.44550436504,130
"3","Alabama",62,1040.37644237689,110
"178","Morehead St",62,1039.61695865731,137
"299","UAB",61,1033.9152091953,220
"298","TX Southern",64,1033.64605333715,47
"8","American Univ",62,1033.37188369356,112
"181","Mt St Mary's",63,1030.60708663857,82
"331","Wake Forest",63,1030.06337659246,105
"303","UCF",60,1029.51363063459,261
"342","Wofford",62,1027.88528956454,170
"51","Col Charleston",62,1026.71756577434,118
"55","Columbia",57,1023.5499821473,314
"110","High Point",57,1023.39451014231,318
"252","Santa Clara",62,1023.07541812466,152
"316","Utah Valley",58,1019.43153636874,310
"254","SC Upstate",63,1018.83926932786,92
"98","Gardner Webb",61,1016.81208670387,186
"135","Kent",63,1016.09135183112,74
"140","Lehigh",61,1014.28315727931,194
"283","Temple",62,1010.8363287262,162
"143","Long Beach St",60,1010.80428670391,248
"340","Winthrop",59,1006.68886026815,287
"106","Hampton",60,1004.92412371409,245
"320","Vanderbilt",61,1003.42380493417,225
"174","Missouri St",61,1002.50613006616,203
"312","UT Arlington",61,1001.36983762642,223
"218","Oral Roberts",63,1000.62591358919,88
"91","Florida Intl",60,998.119147709477,242
"107","Hartford",62,997.770234054587,127
"256","SE Missouri St",61,997.239729256193,214
"80","East Carolina",58,996.916907803614,294
"94","Fresno St",60,993.538344772824,243
"73","Drexel",60,990.512851787053,237
"232","Purdue",63,990.180006478854,90
"325","VMI",57,989.364790289859,329
"307","UNC Asheville",60,989.219831851512,262
"209","Northwestern",64,985.410467988699,42
"193","Nevada",61,984.456546177792,204
"270","St Francis NY",62,982.193376765498,157
"234","Radford",61,981.06462649531,208
"263","South Carolina",65,980.176580463098,14
"203","North Dakota",61,978.977034765701,205
"337","WI Milwaukee",64,978.090940661214,51
"16","Army",61,977.856270201685,173
"84","Evansville",63,977.268473892295,65
"12","Ark Little Rock",62,977.088219417706,113
"238","Rider",62,976.041936789565,149
"223","Penn St",62,975.128296745784,146
"346","Yale",57,974.306598975808,331
"247","San Diego",61,967.209058820228,211
"71","Detroit",61,966.287913980515,184
"179","Morgan St",59,963.769699177679,274
"206","Northeastern",62,963.555476721615,142
"72","Drake",60,962.541082443757,236
"1","Air Force",57,956.334233783385,311
"290","Texas Tech",61,953.696970568768,218
"149","Loyola MD",61,953.640538096565,198
"326","W Carolina",63,951.945458834044,104
"224","Pepperdine",59,951.177880384745,278
"183","N Colorado",58,949.603570218761,299
"29","Brown",55,949.050087504423,341
"142","Lipscomb",59,945.322342905689,272
"204","North Florida",62,941.760651635348,141
"286","Tennessee Tech",61,941.078258720158,216
"243","S Illinois",62,941.035477538032,151
"99","George Mason",61,940.657074660627,187
"36","Cal Poly SLO",59,939.302744647431,269
"240","Rutgers",62,938.908409063748,150
"347","Youngstown St",60,938.594077561942,266
"83","ETSU",63,937.091509236731,64
"44","Chattanooga",61,934.640077648264,180
"212","Oakland",62,934.284553076502,143
"327","W Illinois",56,932.7488202462,340
"5","Alabama St",61,929.896566266959,171
"205","North Texas",61,928.206373376731,206
"62","CS Northridge",64,925.597383992452,25
"63","CS Sacramento",57,923.31116858936,315
"253","Savannah St",61,919.733875936529,213
"226","Portland",60,917.88904121247,255
"17","Auburn",61,917.408400277424,174
"28","Bradley",63,911.575519959478,59
"191","NE Omaha",59,909.343423621466,276
"138","Lafayette",63,907.988255502622,75
"227","Portland St",57,906.472942082063,324
"116","Idaho",62,906.060282637803,129
"42","Charleston So",56,905.093149591071,333
"13","Ark Pine Bluff",61,903.737903870875,172
"262","South Alabama",58,902.505255864844,307
"131","James Madison",62,902.129483610385,133
"207","Northern Arizona",63,901.184417887384,84
"265","South Florida",62,894.045489162518,155
"276","St Peter's",60,889.352000030927,259
"333","Washington St",62,888.248647909648,169
"70","DePaul",64,881.934453047576,26
"311","USC",63,881.22094638527,102
"235","Rhode Island",61,880.517290642045,209
"79","E Washington",62,880.223488279228,121
"260","Siena",62,879.711823595897,153
"165","Miami OH",59,870.638630579403,273
"200","NJIT",53,870.382534626284,344
"217","Old Dominion",63,869.024891739992,87
"144","Long Island",61,866.729076963433,196
"177","Montana St",58,866.125177438835,298
"75","Duquesne",60,865.606996760184,238
"130","Jacksonville St",57,859.3292555893,319
"52","Colgate",63,857.962176601837,61
"129","Jacksonville",59,856.931154464947,271
"41","Central Conn",60,854.321545639745,232
"61","CS Fullerton",60,853.501957590091,234
"4","Alabama A&M",57,852.00090473079,312
"171","Mississippi St",63,850.767895017751,80
"154","Marist",61,850.611820456742,201
"281","TAM C. Christi",60,848.869940457376,260
"27","Bowling Green",62,847.901873935467,114
"25","Boston College",63,847.159898286072,57
"264","South Dakota",57,845.181863855547,327
"324","Virginia Tech",62,843.083520252855,166
"148","Loy Marymount",60,841.05448831428,249
"150","Loyola-Chicago",62,831.360946613108,135
"199","Nicholls St",58,829.996224469838,300
"97","Ga Southern",62,829.811594092282,125
"185","N Illinois",60,828.104136419436,252
"87","FL Atlantic",62,824.960498945104,123
"64","Dartmouth",55,822.087326656601,342
"156","Marshall",64,819.378735462995,34
"76","E Illinois",60,815.486071363091,239
"60","CS Bakersfield",58,810.563420329614,292
"86","Fairfield",63,808.957717865748,66
"294","Troy",62,805.795042819022,163
"159","McNeese St",57,799.479465648269,320
"90","Florida A&M",60,797.133893072332,241
"246","Samford",63,796.691269895229,91
"198","Niagara",63,793.068717901285,83
"308","UNC Greensboro",59,792.891717822033,285
"255","SE Louisiana",57,792.867710847769,326
"282","TCU",61,786.557529086969,215
"257","Seattle",58,785.13363222388,305
"118","IL Chicago",61,782.880474175255,190
"81","Edwardsville",56,782.643507821875,334
"285","Tennessee St",58,780.25022198367,308
"186","N Kentucky",56,779.274125507696,338
"128","Jackson St",58,779.112590178564,296
"38","Campbell",60,777.606109867554,231
"300","UC Davis",61,777.598163521583,221
"306","ULM",53,777.044153218893,345
"7","Alcorn St",62,772.96093826203,111
"35","C Michigan",60,772.414850793016,230
"175","Monmouth NJ",63,770.264654013337,81
"228","Prairie View",62,759.219183360954,147
"18","Austin Peay",59,759.210439446101,267
"45","Chicago St",58,757.046836095873,290
"9","Appalachian St",57,755.231411818242,313
"57","Coppin St",62,755.142781531822,119
"222","Penn",58,754.904874146196,301
"93","Fordham",62,754.417770213243,124
"188","NC A&T",62,754.297891800482,138
"68","Delaware St",58,751.761664197847,293
"278","Stetson",59,751.498992716807,282
"40","Cent Arkansas",56,742.380990761166,332
"309","UNC Wilmington",61,740.529280461534,222
"19","Ball St",58,739.082373541958,288
"173","Missouri KC",60,738.861903245132,250
"85","F Dickinson",62,734.875344613811,122
"297","TX Pan American",59,729.424160816194,283
"117","Idaho St",58,728.504116004146,295
"141","Liberty",61,726.70953295932,195
"271","St Francis PA",60,722.388321734605,258
"250","San Jose St",58,722.344386968705,303
"111","Hofstra",63,721.017282717426,70
"313","UT San Antonio",59,712.880435378406,286
"289","Texas St",61,705.425022246358,217
"187","Navy",60,694.887125902604,253
"302","UC Riverside",59,689.743016755582,284
"291","TN Martin",58,678.675341340458,309
"458","Incarnate Word",27,671.710287611674,352
"22","Bethune-Cookman",61,670.88760349677,176
"152","Maine",58,663.096204738716,297
"241","S Carolina St",57,653.414603238349,325
"244","Sacred Heart",60,648.400176414639,257
"58","Cornell",58,645.263540245842,291
"95","Furman",57,643.80465641224,316
"115","Howard",61,642.154896475978,189
"236","Rice",58,641.532642321462,302
"114","Houston Bap",56,628.330327228233,336
"180","MS Valley St",60,624.724564930316,251
"194","New Hampshire",57,620.694862569511,323
"145","Longwood",61,604.043362463296,197
"47","Citadel",60,603.872431072382,233
"437","Grand Canyon",29,598.757994646467,349
"127","IUPUI",61,594.519911454275,191
"268","Southern Utah",57,588.754155256371,328
"23","Binghamton",58,573.549871225697,289
"134","Kennesaw",61,572.395913571035,192
"229","Presbyterian",60,562.52731390503,256
"161","MD E Shore",57,552.823744429088,321
"105","Grambling",56,512.765190323057,335
"139","Lamar",61,511.972889286456,193
"197","New Orleans",48,494.618072742841,346
"483","MA Lowell",28,487.912720690904,351
"493","Metro St",4,467.191849830974,361
"596","UMBC",30,430.229094867319,348
"617","West Alabama",4,426.603673081384,369
"522","Nova SE",1,426.433499927167,561
"625","Wilmington OH",1,423.081030372604,627
"535","Permian Basin",1,421.748793834529,570
"624","Wilmington DE",1,420.804232808777,626
"423","Emporia St",2,419.013763143892,408
"348","Abilene Chr",31,416.728948170689,347
"482","Lyon",2,414.697050476339,419
"485","Mars Hill",2,412.944294475949,420
"392","Chowan",3,410.136501275027,373
"489","McMurry",2,408.800549641591,422
"160","MD Baltimore Co",28,403.439903155436,350
"476","LeMoyne-Owen",1,396.776052792197,533
"421","Elmhurst",1,396.332981060051,497
"564","St Catharine",1,395.996424312518,585
"488","Mayville St",1,395.848594601564,537
"576","SW Oklahoma",1,395.834227725211,595
"447","Heidelberg",1,395.795466294013,514
"517","North Park",1,395.729497785943,557
"400","Col Springs",1,395.679538117892,482
"492","Mesa St",1,395.486982744501,540
"444","Haverford",1,395.445085391513,512
"602","Valley City St",1,395.314509961877,611
"605","Viterbo",1,395.296603905655,614
"468","Kean",1,395.222643123696,527
"491","Menlo",1,395.211060473323,539
"511","MT Western",1,395.16637503114,555
"383","Catholic",1,395.164558676025,473
"442","Hardin-Simmons",1,395.122070500373,510
"569","St Martin's",1,395.12008535078,589
"419","Eckerd",1,395.069420785868,496
"399","Coker",1,395.067081400487,481
"551","Salve Regina",1,395.02799457879,578
"500","MIT",1,394.981291704162,545
"370","Black Hills St",1,394.974438235495,467
"474","Le Tourneau",1,394.822969782108,532
"578","Tampa",1,394.770444096645,597
"355","Anderson IN",1,394.768350815551,457
"612","Wash & Lee",1,394.688884906343,617
"435","Grace Bib",1,394.688815112414,505
"424","Eureka",1,394.64876903198,499
"507","Mt Olive",1,394.597215714808,551
"557","Siena Hts",1,394.597012376662,583
"508","Mt St Joseph",1,394.578569801452,552
"426","Fayetteville St",1,394.54052968667,500
"527","Ohio Northern",1,394.539732417045,565
"591","Truman St",1,394.530853300303,605
"604","Virginia Union",1,394.515259750751,613
"439","Greenville",1,394.507772382431,507
"575","SW Minnesota",1,394.480588019053,594
"494","MI Dearborn",1,394.477633895113,541
"615","Wayne St NE",1,394.415912734863,619
"455","Howard Payne",1,394.384560887559,520
"391","Chestnut Hill",1,394.363159557344,475
"566","St Francis IL",1,394.34904133644,587
"409","Dakota St",1,394.279679823716,489
"445","Hawaii Hilo",1,394.188162079234,513
"398","Coe",1,394.187372092977,480
"619","Westminster PA",1,394.1201557059,621
"371","Blue Mtn",1,394.099470554094,468
"465","Johnson Bib",1,394.063694770102,525
"582","Thiel",1,394.05416268805,601
"460","Indiana Tech",1,394.021949727981,523
"623","Wiley",1,393.977979602268,625
"432","Florida National",1,393.974785898757,503
"354","Allen",1,393.956639374002,456
"396","Clearwater Chr",1,393.922900354357,478
"518","Northwestern OH",1,393.762234328017,558
"467","Kalamazoo",1,393.696150781671,526
"512","N Michigan",1,393.681786299856,556
"427","Ferrum",1,393.672273337782,501
"505","Morehouse",1,393.665509076358,549
"357","Arkansas-FS",1,393.661969721856,459
"501","MN Duluth",1,393.608842006288,546
"593","Tuskegee",1,393.590190007609,606
"464","Jarvis Chr",1,393.579438085412,524
"408","CS Dom. Hills",1,393.578193449454,488
"433","Fort Valley St",1,393.566773913434,504
"457","Immaculata",1,393.504424684554,521
"359","Asbury",1,393.469366433426,460
"549","S Francisco St",1,393.442410104874,576
"403","Columbia Intl",1,393.423624888925,484
"404","Columbus St",1,393.383415225669,485
"561","Southern Poly",1,393.359506293986,584
"581","The Master's",1,393.35284588366,600
"579","Taylor IN",1,393.344331325537,598
"385","Cent Methodist",1,393.336916348464,474
"595","UC Santa Cruz",1,393.268628988351,607
"520","Notre Dame CA",1,393.222751632152,559
"362","B Jones",1,393.208208447702,462
"453","Hope Intl",1,393.131007333443,518
"502","MN Morris",1,393.126673860948,547
"510","MT St-Billings",1,393.088475805183,554
"521","Notre Dame OH",1,393.052729220927,560
"509","Mt St Vincent",1,393.043524001416,553
"454","Houghton",1,393.039483775507,519
"413","Daniel Webster",1,392.994711340389,491
"470","La Roche",1,392.987698475239,529
"440","Guilford",1,392.982761174351,508
"452","Holy Names",1,392.944438096104,517
"537","Philadelphia",1,392.940117862277,571
"523","NW Nazarene",1,392.931709411665,562
"405","Concordia MI",1,392.921982699301,486
"352","Albion",1,392.830563252554,454
"402","Colorado Col",1,392.802919757721,483
"616","Webber",1,392.80227025591,620
"544","Roanoke",1,392.796042743612,575
"614","Wayland",1,392.772562097154,618
"632","Young Harris",1,392.756547203104,632
"414","Defiance",1,392.742220610891,492
"448","Hendrix",1,392.723982445178,515
"377","Bridgewater VA",1,392.720953457368,470
"397","Coast Guard",1,392.716387149946,479
"601","VA-Lynchburg",1,392.688454551179,610
"378","Cairn",1,392.663683663516,471
"487","Marygrove",1,392.614860366069,536
"422","Emory & Henry",1,392.57770093837,498
"598","Ursinus",1,392.559761599513,609
"416","Earlham",1,392.55138545397,493
"406","Covenant",1,392.541620528929,487
"478","Limestone",1,392.539825685935,535
"394","City Col NY",1,392.517540328974,476
"499","Missouri S&T",1,392.503591931047,544
"538","Presentation",1,392.489042565862,572
"353","Alice Lloyd",1,392.486838385413,455
"556","Shenandoah",1,392.485458888075,582
"627","Wittenberg",1,392.48078756739,629
"366","Baruch",1,392.475886298511,465
"574","SW Christian",1,392.421041822732,593
"443","Haskell",1,392.324209311799,511
"449","Hillsdale",1,392.261516014752,516
"473","LaGrange",1,392.239373257507,531
"351","Albertus Magnus",1,392.191891016569,453
"477","Lesley",1,392.138702137092,534
"529","Olivet Naz",1,392.110530775382,567
"626","Wingate",1,392.11040069166,628
"356","Arizona Chr",1,392.07349251414,458
"553","Schreiner",1,392.022480689989,579
"367","Belhaven MS",1,391.920082797502,466
"620","Westminster UT",1,391.912002025486,622
"610","Warner",1,391.879810748714,616
"588","Trinity FL",1,391.858627580987,602
"376","Brewton-Parker",1,391.854557181426,469
"436","Graceland",1,391.844765602098,506
"364","Bap Bible PA",1,391.830462675683,464
"533","Pacific OR",1,391.817282439033,569
"350","AL Huntsville",1,391.801596736008,452
"631","WV Wesleyan",1,391.782151003734,631
"490","ME Ft Kent",1,391.780419896736,538
"525","Oakwood",1,391.681182550001,563
"621","Wheelock",1,391.662609536098,623
"541","Randolph Col",1,391.650647839485,574
"360","Auburn M'gomery",1,391.61018411499,461
"572","Suffolk",1,391.59572969431,591
"498","Mississippi Col",1,391.59448922032,543
"418","Ecclesia",1,391.590400260965,495
"503","Mobile",1,391.324669861106,548
"379","Caldwell",1,391.278174905917,472
"469","Kentucky St",1,391.199990966962,528
"441","Gwynedd-Mercy",1,391.177944967137,509
"395","Claflin",1,390.955957318116,477
"528","Ohio Valley",1,390.903520604178,566
"622","WI Parkside",1,390.76237100425,624
"597","Urbana",1,390.739915848428,608
"540","R Morris Spfd",1,390.559678188425,573
"584","TN Temple",2,390.443542820079,439
"526","Oberlin",1,390.414661351284,564
"555","Sewanee",1,390.392533574003,581
"430","FL Memorial",1,390.27514985619,502
"570","St Thomas TX",1,390.270190648342,590
"628","Wm Carey",2,390.201649229549,450
"472","La Verne",1,390.052038653334,530
"567","St Joseph's IN",1,389.921412182884,588
"606","Voorhees",1,389.903909629785,615
"459","Indiana NW",1,389.794170022403,522
"630","WV Tech",1,389.583907799815,630
"554","Selma AL",1,389.581497426296,580
"550","Salisbury St",1,389.506131087591,577
"386","Centenary",2,389.476079232694,400
"546","Rockhurst",2,389.392882425114,432
"629","Wm Jessup",2,389.327761292205,451
"590","Truett-McConnell",1,389.299310646431,604
"515","Newberry",2,389.010465778787,426
"618","Western St CO",2,388.983120168897,449
"429","Fisk",2,388.794602492167,410
"369","Bethesda",2,388.448374306411,394
"548","S Arkansas",2,388.337891355677,434
"361","Ave Maria",2,388.233050927414,391
"365","Barber-Scotia",2,388.152065683105,392
"543","Rio Grande",2,388.124981043019,431
"410","Dallas Bap",2,387.696464095377,405
"542","Reinhardt",2,387.60726339821,430
"514","NC Wesleyan",2,387.070107126904,425
"592","Tusculum",2,387.062479904271,442
"599","UT Tyler",2,387.004272463363,444
"531","Our Lady Lake",1,387.003606763059,568
"558","Simpson CA",2,386.941679521397,435
"560","Southeastern FL",2,386.802341028966,436
"401","Colorado Chr",2,386.770882089462,403
"431","Florida Col",2,386.755458356602,411
"539","Purdue Calumet",2,386.727217768526,429
"562","Spring Hill",2,386.615655268767,437
"495","Mid-Continent",2,386.447822519968,423
"446","Hawaii Pacific",2,386.372480278176,413
"486","Martin Meth",2,386.352766212336,421
"547","Roosevelt",2,386.337279253955,433
"382","Carroll MT",2,386.114578883289,398
"384","Cedarville",2,385.972485833873,399
"565","St Edward's",1,385.779296505847,586
"481","Lyndon St",2,385.77273757973,418
"580","Texas A&M Intl",1,385.51531331145,599
"393","Cincinnati Chr",2,385.513864323223,402
"480","Loyola NO",2,385.503077749887,417
"577","SW Univ TX",1,385.401289600447,596
"603","Vanguard",1,385.294114227213,612
"475","Lee-McRae",2,385.288452245734,416
"462","IU Kokomo",2,385.118948757262,414
"368","Bethel TN",2,385.027395587321,393
"594","UC Merced",2,384.935857772599,443
"573","SW Adventist",1,384.863574633042,592
"536","Peru St",2,384.656506441754,428
"589","Trinity TX",1,384.581306305466,603
"372","Bluefield VA",2,384.357416346199,395
"411","Dallas Chr",1,384.290966732354,490
"417","Eastern Univ",1,384.205060757434,494
"434","Goucher",2,384.131067925872,412
"363","Bacone",1,384.130642740952,463
"609","Walla Walla",2,383.962572168142,447
"412","Dalton St",2,383.933066708573,406
"428","Fisher",2,383.915238564796,409
"497","Millsaps",1,383.907971357349,542
"496","Milligan",2,383.899743081377,424
"420","Edward Waters",2,383.879451320879,407
"506","Mt Ida",1,383.6429023935,550
"532","Pac Lutheran",2,383.621229344764,427
"613","Washington MD",2,383.609533093294,448
"381","Campbellsville",2,383.219097062548,397
"583","Thomas GA",2,383.132658389865,438
"407","Crowley's Ridge",2,383.097184957014,404
"484","Manchester",3,382.94452401928,381
"373","Bluefield WV",2,382.556087761971,396
"585","Toccoa Falls",2,382.342130086543,440
"389","Chaminade",4,382.337544116854,358
"608","Waldorf",2,382.277113091061,446
"586","Tougaloo",2,381.538837881308,441
"387","Central Bap",2,381.514909796946,401
"349","AK Anchorage",3,381.3165700256,370
"374","Brescia",4,381.250571013708,356
"559","Sonoma St",3,381.138035268153,387
"466","Judson IL",2,381.097974554561,415
"471","La Sierra",3,379.977145332721,379
"415","Dillard",3,379.92302255121,374
"534","Pacifica",3,379.471650424725,385
"479","Louisiana Col",3,379.463297272979,380
"451","Hiwassee",3,379.056452435608,377
"587","Trinity Bap",3,378.622578001188,388
"380","Cameron",3,377.912746867392,372
"568","St Katherine",4,377.792730841326,366
"461","Iowa Wesleyan",3,377.524991401272,378
"545","Rochester MI",3,376.926216145163,386
"516","North Greenville",3,376.562510856269,383
"524","Oakland City",3,376.196491699736,384
"438","Greensboro",3,376.160525301926,375
"600","VA Intermont",3,376.035736680837,389
"571","Stillman",4,375.949112347045,367
"388","Central Penn",4,375.104111106517,357
"513","N New Mexico",3,374.826540418186,382
"358","Arlington Bap",2,373.60440137723,390
"611","Warren Wilson",4,373.27128495012,368
"375","Brevard",3,373.107721745692,371
"563","St Andrew's",4,371.817360433249,365
"450","Hillsdale Bap",3,369.949104502492,376
"463","J&W NC",5,369.141560145146,355
"607","W New Mexico",2,368.0345285674,445
"425","Evergreen St",4,366.998449863131,360
"504","Montreat And",4,366.399417328237,362
"390","Champion Bap",4,361.094337263204,359
"519","Northwood TX",4,353.583750407485,363
"456","Huston-Tillot",5,346.671592004112,354
"552","San Diego Chr",8,343.564228252014,353
"530","Open Bible",4,343.447828538957,364
